name,location,listed_in(type),online_order,votes,rate,approx_cost(for two people)
Saffron Kitchen 336,Arera Colony,Dining,No,273,4.2,700
Blue Treats 337,Bairagarh,Buffet,No,180,3.6,1050
Urban Treats 338,TT Nagar,Quick Bites,Yes,266,3.9,200
Royal House 339,Indrapuri,Buffet,No,230,3.9,1300
Spice Bistro 340,Indrapuri,Desserts,No,103,4.3,300
Fusion Corner 341,Arera Colony,Buffet,No,122,3.8,1300
Green House 342,Indrapuri,Cafe,Yes,179,3.9,550
Green Kitchen 343,Kolar Road,Desserts,Yes,64,3.9,200
Green House 344,Arera Colony,Dining,No,174,4.2,650
Spice Corner 345,Bairagarh,Buffet,Yes,105,3.5,1000
Fusion Kitchen 346,Indrapuri,Casual Dining,No,217,3.6,550
Urban Treats 347,MP Nagar,Casual Dining,Yes,315,3.7,550
Royal Dine 348,Kolar Road,Desserts,Yes,225,4.4,350
Urban Treats 349,Kolar Road,Buffet,No,82,4.1,650
Urban Bistro 350,Arera Colony,Dining,No,169,3.6,500
Fusion House 351,Indrapuri,Desserts,Yes,149,3.7,350
Fusion Cafe 352,Indrapuri,Quick Bites,Yes,292,3.9,150
Blue Cafe 353,Bairagarh,Desserts,Yes,111,4.4,150
Green Treats 354,Bairagarh,Quick Bites,Yes,284,3.4,300
Royal Corner 355,Kolar Road,Cafe,Yes,65,3.4,450
Blue Kitchen 356,Indrapuri,Dining,No,162,3.7,650
Spice Corner 357,MP Nagar,Buffet,No,277,3.8,850
Spice Bistro 358,Kolar Road,Buffet,Yes,195,3.8,1100
Green Hub 359,Kolar Road,Desserts,Yes,68,4.1,150
Fusion Kitchen 360,Bairagarh,Buffet,No,165,4.4,700
Green Treats 361,Kolar Road,Casual Dining,Yes,376,4.0,850
Urban Hub 362,MP Nagar,Casual Dining,No,138,4.4,550
Royal Cafe 363,TT Nagar,Buffet,No,215,3.3,1150
Fusion Corner 364,Kolar Road,Quick Bites,No,112,3.7,450
Tandoor Bistro 365,MP Nagar,Buffet,Yes,215,3.7,600
Blue House 366,Kolar Road,Casual Dining,Yes,365,3.8,400
Green Corner 367,MP Nagar,Buffet,No,257,3.8,700
Green Dine 368,Indrapuri,Desserts,Yes,65,4.1,350
Urban Kitchen 369,Kolar Road,Cafe,Yes,88,3.7,350
Blue Treats 370,Bairagarh,Cafe,Yes,163,3.4,400
Royal Treats 371,TT Nagar,Dining,No,312,4.2,700
Blue Treats 372,Bairagarh,Desserts,Yes,217,3.4,400
Spice Bistro 373,MP Nagar,Dining,Yes,393,4.2,500
Saffron Dine 374,Kolar Road,Dining,No,335,4.2,800
Royal House 375,Indrapuri,Dining,No,161,4.2,850
Fusion Bistro 376,Arera Colony,Casual Dining,No,249,4.2,600
Urban Hub 377,Arera Colony,Cafe,Yes,108,3.7,600
Green House 378,Indrapuri,Buffet,No,268,3.3,700
Urban Bistro 379,TT Nagar,Cafe,Yes,254,3.8,400
Royal Kitchen 380,TT Nagar,Dining,No,251,4.2,550
Royal Bistro 381,Kolar Road,Casual Dining,No,80,3.8,400
Blue Hub 382,Kolar Road,Dining,No,112,3.3,750
Royal Corner 383,Bairagarh,Buffet,Yes,220,4.0,700
Blue Hub 384,TT Nagar,Dining,No,168,3.2,450
Green Bistro 385,Indrapuri,Buffet,Yes,252,4.1,800
Royal Dine 386,Arera Colony,Cafe,Yes,84,3.6,350
Royal Corner 387,Kolar Road,Casual Dining,Yes,132,4.3,600
Green Dine 388,Indrapuri,Dining,No,158,3.3,850
Tandoor Treats 389,TT Nagar,Cafe,No,263,3.5,500
Tandoor House 390,Arera Colony,Casual Dining,No,243,3.7,450
Urban Cafe 391,Arera Colony,Casual Dining,Yes,319,4.1,900
Tandoor Corner 392,Arera Colony,Casual Dining,Yes,234,4.3,800
Urban Hub 393,Arera Colony,Cafe,Yes,154,4.1,600
Urban Hub 394,Bairagarh,Casual Dining,Yes,249,3.7,1000
Blue Cafe 395,Bairagarh,Casual Dining,Yes,97,3.9,550
Spice House 396,TT Nagar,Buffet,No,272,4.4,900
Blue Cafe 397,TT Nagar,Cafe,No,61,3.9,250
Fusion Corner 398,Bairagarh,Buffet,No,217,3.4,900
Blue Cafe 399,Bairagarh,Dining,Yes,425,4.2,650
Spice Cafe 400,Bairagarh,Casual Dining,Yes,369,4.2,650
Spice Kitchen 401,MP Nagar,Cafe,Yes,264,4.0,300
Green Corner 402,Arera Colony,Dining,No,275,3.5,650
Blue Treats 403,Indrapuri,Cafe,Yes,178,3.7,350
Royal Kitchen 404,Arera Colony,Desserts,Yes,64,3.3,400
Green Kitchen 405,Indrapuri,Buffet,No,243,4.1,600
Urban Dine 406,TT Nagar,Casual Dining,Yes,379,4.3,450
Urban Treats 407,MP Nagar,Dining,No,143,4.0,450
Blue Dine 408,Bairagarh,Cafe,No,205,4.0,600
Blue Dine 409,MP Nagar,Dining,No,205,3.9,500
Green Kitchen 410,Arera Colony,Dining,No,448,3.4,550
Blue Kitchen 411,TT Nagar,Casual Dining,No,337,3.8,700
Green Hub 412,Arera Colony,Casual Dining,No,271,4.1,450
Royal Corner 413,Bairagarh,Cafe,Yes,254,4.1,550
Fusion Dine 414,TT Nagar,Desserts,Yes,184,3.6,300
Royal Cafe 415,TT Nagar,Cafe,Yes,299,4.5,250
Tandoor Treats 416,Kolar Road,Casual Dining,No,93,4.0,400
Green Kitchen 417,MP Nagar,Quick Bites,Yes,184,3.7,300
Fusion Dine 418,Arera Colony,Cafe,Yes,287,3.6,500
Blue Kitchen 419,Kolar Road,Buffet,Yes,238,3.5,700
Saffron Corner 420,TT Nagar,Buffet,No,59,3.5,900
Spice Treats 421,Kolar Road,Casual Dining,Yes,148,4.3,900
Spice Dine 422,Indrapuri,Casual Dining,No,101,3.6,750
Blue Dine 423,Kolar Road,Cafe,Yes,137,4.1,450
Fusion Bistro 424,Arera Colony,Buffet,No,145,3.4,1250
Saffron Treats 425,Indrapuri,Dining,No,83,3.6,450
Tandoor Cafe 426,TT Nagar,Desserts,Yes,97,3.6,450
Saffron Dine 427,MP Nagar,Desserts,Yes,119,3.9,250
Saffron Dine 428,Bairagarh,Desserts,No,95,3.6,200
Tandoor Dine 429,Indrapuri,Desserts,Yes,215,3.5,300
Saffron Kitchen 430,MP Nagar,Quick Bites,Yes,122,3.9,450
Urban House 431,Arera Colony,Desserts,Yes,120,4.0,200
Blue Bistro 432,Kolar Road,Dining,No,359,3.8,800
Tandoor Dine 433,TT Nagar,Quick Bites,Yes,115,3.9,300
Tandoor House 434,TT Nagar,Cafe,Yes,253,4.1,300
Spice Dine 435,Arera Colony,Dining,No,307,3.8,300
Royal Treats 436,Indrapuri,Casual Dining,No,142,3.4,750
Urban Corner 437,Kolar Road,Cafe,Yes,110,3.7,300
Tandoor Hub 438,Kolar Road,Casual Dining,No,284,3.5,400
Tandoor Corner 439,Bairagarh,Buffet,No,269,4.1,1050
Royal Bistro 440,MP Nagar,Buffet,No,192,3.7,1000
Royal Dine 441,Bairagarh,Casual Dining,No,265,4.3,950
Tandoor Kitchen 442,Indrapuri,Casual Dining,No,109,3.5,600
Blue House 443,Indrapuri,Casual Dining,No,277,3.6,800
Spice Kitchen 444,Indrapuri,Casual Dining,Yes,307,3.6,700
Saffron Corner 445,Bairagarh,Quick Bites,Yes,244,4.0,400
Urban Bistro 446,Arera Colony,Dining,No,418,3.5,800
Urban Kitchen 447,Arera Colony,Dining,No,155,4.2,600
Spice Kitchen 448,Indrapuri,Quick Bites,Yes,107,3.4,200
Green Kitchen 449,TT Nagar,Quick Bites,Yes,190,3.2,400
Blue Kitchen 450,Kolar Road,Dining,No,224,3.5,850
Spice Treats 451,Arera Colony,Desserts,No,138,3.6,400
Green Cafe 452,Bairagarh,Quick Bites,No,229,3.4,150
Tandoor House 453,Arera Colony,Buffet,Yes,127,3.6,1250
Urban Cafe 454,Indrapuri,Cafe,Yes,204,3.4,350
Tandoor Bistro 455,Arera Colony,Buffet,No,224,3.3,1050
Fusion Kitchen 456,Arera Colony,Quick Bites,No,113,3.4,300
Fusion Corner 457,Bairagarh,Desserts,Yes,106,3.4,350
Urban Hub 458,Bairagarh,Desserts,Yes,62,4.0,400
Saffron Kitchen 459,MP Nagar,Buffet,Yes,169,3.6,1250
Urban Treats 460,Bairagarh,Quick Bites,Yes,65,3.1,300
Saffron Dine 461,Bairagarh,Buffet,No,256,3.7,950
Blue Hub 462,Arera Colony,Quick Bites,Yes,300,3.3,250
Urban House 463,MP Nagar,Quick Bites,Yes,212,3.3,200
Saffron House 464,Kolar Road,Cafe,Yes,257,3.4,250
Urban Corner 465,Bairagarh,Casual Dining,Yes,113,4.4,550
Urban Dine 466,Indrapuri,Buffet,No,257,3.9,1300
Spice House 467,MP Nagar,Casual Dining,No,323,3.4,1000
Green Corner 468,Arera Colony,Quick Bites,Yes,165,3.9,200
Urban Bistro 469,Indrapuri,Desserts,Yes,106,4.2,500
Saffron Hub 470,Indrapuri,Cafe,Yes,258,3.7,550
Spice Dine 471,Indrapuri,Desserts,No,123,3.6,400
Tandoor Kitchen 472,Indrapuri,Dining,Yes,169,3.8,450
Urban Cafe 473,MP Nagar,Cafe,No,315,4.3,600
Spice Dine 474,Indrapuri,Quick Bites,No,179,4.0,350
Saffron Hub 475,Bairagarh,Dining,Yes,216,3.9,850
Spice House 476,Kolar Road,Buffet,No,274,3.5,900
Tandoor Corner 477,Arera Colony,Dining,No,424,4.0,650
Royal Corner 478,Indrapuri,Quick Bites,Yes,131,3.2,200
Fusion Bistro 479,Indrapuri,Desserts,Yes,52,3.4,400
Blue Corner 480,Indrapuri,Desserts,No,66,3.5,250
Royal Dine 481,TT Nagar,Quick Bites,Yes,74,3.7,350
Saffron Bistro 482,Arera Colony,Cafe,Yes,110,4.4,350
Blue Hub 483,Arera Colony,Buffet,No,57,4.0,1300
Royal Bistro 484,MP Nagar,Cafe,Yes,198,3.7,400
Spice Dine 485,Kolar Road,Buffet,No,117,3.6,950
Urban Bistro 486,Arera Colony,Cafe,Yes,214,4.1,250
Blue House 487,MP Nagar,Cafe,Yes,211,3.7,400
Green House 488,TT Nagar,Buffet,No,86,3.5,1350
Royal House 489,Indrapuri,Casual Dining,No,326,3.7,450
Royal Bistro 490,MP Nagar,Cafe,Yes,318,3.7,500
Fusion House 491,Arera Colony,Dining,Yes,302,4.0,650
Green Kitchen 492,MP Nagar,Cafe,Yes,66,4.2,350
Blue Treats 493,Bairagarh,Buffet,Yes,189,3.6,850
Green House 494,Bairagarh,Cafe,Yes,74,4.0,350
Saffron Corner 495,Kolar Road,Dining,Yes,189,4.2,300
Saffron Dine 496,TT Nagar,Desserts,Yes,105,3.7,300
Saffron Cafe 497,Indrapuri,Quick Bites,No,180,3.1,250
Blue Hub 498,Arera Colony,Dining,No,269,3.5,750
Urban Treats 499,MP Nagar,Quick Bites,Yes,99,4.0,150
Tandoor Cafe 500,Arera Colony,Desserts,No,244,3.7,500
Spice Bistro 501,Arera Colony,Desserts,No,94,3.4,200
Tandoor Corner 502,Bairagarh,Buffet,No,242,3.7,1200
Fusion Cafe 503,Bairagarh,Quick Bites,Yes,194,3.6,200
Spice Hub 504,Bairagarh,Cafe,No,164,3.6,550
Blue Corner 505,Kolar Road,Quick Bites,Yes,166,3.6,300
Spice Hub 506,MP Nagar,Dining,No,80,4.3,500
Urban Corner 507,Arera Colony,Quick Bites,Yes,168,3.3,300
Urban Treats 508,Bairagarh,Dining,Yes,158,4.2,700
Green House 509,TT Nagar,Casual Dining,No,277,3.9,800
Saffron Corner 510,Bairagarh,Casual Dining,No,99,3.8,750
Urban House 511,Kolar Road,Casual Dining,Yes,325,4.2,950
Urban Hub 512,Kolar Road,Buffet,No,83,3.9,900
Saffron Hub 513,TT Nagar,Desserts,Yes,137,4.1,300
Urban Kitchen 514,MP Nagar,Buffet,No,195,4.2,950
Urban Hub 515,MP Nagar,Casual Dining,No,225,3.6,600
Green House 516,MP Nagar,Buffet,No,234,3.5,650
Spice Corner 517,Bairagarh,Cafe,No,216,4.3,600
Green Dine 518,Indrapuri,Desserts,No,208,3.5,400
Spice Cafe 519,TT Nagar,Dining,No,278,4.3,450
Spice House 520,Arera Colony,Desserts,No,119,3.7,200
Saffron Hub 521,Bairagarh,Casual Dining,Yes,230,3.7,550
Saffron House 522,Kolar Road,Casual Dining,Yes,164,3.8,400
Saffron Bistro 523,Arera Colony,Quick Bites,Yes,205,4.0,350
Urban Bistro 524,TT Nagar,Desserts,Yes,228,3.6,250
Urban Kitchen 525,MP Nagar,Cafe,No,234,4.5,500
Tandoor Cafe 526,Arera Colony,Quick Bites,Yes,114,3.7,200
Blue House 527,TT Nagar,Buffet,No,260,4.1,900
Urban Corner 528,Indrapuri,Quick Bites,Yes,120,3.5,400
Royal Corner 529,MP Nagar,Cafe,No,173,3.5,550
Fusion Hub 530,TT Nagar,Buffet,No,187,3.6,900
Urban Dine 531,Bairagarh,Quick Bites,No,86,3.9,150
Spice Hub 532,MP Nagar,Quick Bites,Yes,297,3.2,350
Blue Bistro 533,Kolar Road,Cafe,Yes,189,4.4,300
Tandoor Corner 534,Kolar Road,Cafe,Yes,272,3.6,600
Green House 535,Indrapuri,Desserts,Yes,248,4.0,350
Royal House 536,MP Nagar,Dining,No,363,3.4,650
Tandoor House 537,Kolar Road,Dining,No,413,3.3,750
Saffron Corner 538,MP Nagar,Buffet,No,191,3.9,900
Fusion House 539,MP Nagar,Cafe,Yes,281,3.9,550
Royal Bistro 540,Bairagarh,Dining,Yes,97,3.2,450
Fusion Cafe 541,Kolar Road,Quick Bites,Yes,235,3.2,250
Urban Kitchen 542,MP Nagar,Cafe,Yes,316,3.8,450
Royal Treats 543,Arera Colony,Cafe,No,81,4.1,550
Urban Dine 544,Bairagarh,Desserts,Yes,248,4.2,400
Green Dine 545,TT Nagar,Casual Dining,No,93,3.6,750
Fusion Bistro 546,Kolar Road,Dining,Yes,95,3.7,850
Green Kitchen 547,MP Nagar,Desserts,Yes,224,3.9,300
Urban Kitchen 548,Kolar Road,Cafe,Yes,101,3.6,250
Spice House 549,Arera Colony,Desserts,Yes,234,3.5,450
Royal Treats 550,Bairagarh,Cafe,Yes,73,3.6,500
Tandoor Treats 551,Indrapuri,Casual Dining,No,183,3.5,850
Tandoor Treats 552,Bairagarh,Buffet,No,171,3.3,1150
Royal Corner 553,TT Nagar,Buffet,Yes,88,4.1,900
Green Corner 554,Arera Colony,Quick Bites,Yes,141,3.4,200
Urban Dine 555,Kolar Road,Buffet,No,275,3.5,1100
Royal Dine 556,Kolar Road,Casual Dining,Yes,261,3.6,550
Blue Kitchen 557,TT Nagar,Desserts,Yes,117,3.3,450
Blue Kitchen 558,TT Nagar,Buffet,No,177,3.6,700
Fusion Corner 559,Arera Colony,Cafe,Yes,72,4.5,350
Urban Treats 560,TT Nagar,Dining,Yes,131,4.0,700
Spice Cafe 561,Kolar Road,Buffet,No,127,3.5,950
Saffron Corner 562,Arera Colony,Cafe,Yes,170,4.2,250
Green Hub 563,Kolar Road,Casual Dining,No,348,4.3,500
Tandoor Treats 564,MP Nagar,Quick Bites,Yes,222,4.1,250
Spice Bistro 565,Indrapuri,Desserts,Yes,103,4.1,300
Urban Dine 566,Kolar Road,Buffet,No,148,3.4,1350
Saffron Corner 567,MP Nagar,Quick Bites,No,295,4.2,300
Tandoor Cafe 568,Bairagarh,Dining,No,322,4.0,800
Fusion Treats 569,Bairagarh,Cafe,Yes,174,3.6,600
Tandoor Cafe 570,TT Nagar,Desserts,No,236,3.6,150
Blue Treats 571,MP Nagar,Quick Bites,No,279,3.4,200
Tandoor Dine 572,MP Nagar,Casual Dining,Yes,133,3.4,700
Spice Bistro 573,MP Nagar,Buffet,Yes,177,3.8,1050
Fusion Hub 574,Kolar Road,Quick Bites,Yes,234,3.9,250
Royal Bistro 575,TT Nagar,Desserts,No,150,4.1,200
Fusion Treats 576,Arera Colony,Dining,Yes,146,4.1,350
Green House 577,Kolar Road,Cafe,Yes,306,3.8,450
Tandoor Hub 578,Kolar Road,Buffet,No,243,3.3,700
Tandoor House 579,Bairagarh,Quick Bites,Yes,90,3.9,200
Urban Cafe 580,TT Nagar,Quick Bites,Yes,149,3.2,300
Urban Cafe 581,MP Nagar,Cafe,Yes,299,3.5,450
Tandoor Hub 582,Arera Colony,Desserts,Yes,138,3.8,250
Blue Dine 583,Kolar Road,Cafe,Yes,155,4.2,600
Spice House 584,Arera Colony,Cafe,No,187,3.5,600
Spice Treats 585,Kolar Road,Desserts,Yes,104,3.3,450
Fusion Bistro 586,Bairagarh,Casual Dining,Yes,357,4.2,800
Green Treats 587,MP Nagar,Cafe,Yes,136,3.5,400
Urban House 588,Kolar Road,Dining,Yes,262,3.7,700
Tandoor Corner 589,TT Nagar,Desserts,Yes,203,3.7,350
Spice Dine 590,Indrapuri,Quick Bites,Yes,173,3.2,150
Green Corner 591,Bairagarh,Dining,No,314,4.2,450
Tandoor Hub 592,TT Nagar,Casual Dining,No,129,4.3,450
Tandoor Kitchen 593,TT Nagar,Desserts,Yes,123,3.8,200
Royal Corner 594,MP Nagar,Desserts,No,225,3.7,300
Green Treats 595,Arera Colony,Buffet,No,159,3.8,1150
Spice Corner 596,Indrapuri,Cafe,Yes,92,3.9,400
Spice House 597,Bairagarh,Casual Dining,No,377,4.0,850
Blue Hub 598,MP Nagar,Cafe,Yes,282,4.4,300
Tandoor House 599,Arera Colony,Desserts,Yes,83,3.8,200
Royal Bistro 600,Indrapuri,Dining,No,130,4.2,500
Tandoor Cafe 601,Indrapuri,Casual Dining,No,227,3.5,700
Green Bistro 602,Arera Colony,Desserts,Yes,58,4.0,200
Royal Dine 603,Arera Colony,Casual Dining,No,293,4.1,600
Spice Bistro 604,Bairagarh,Casual Dining,Yes,327,3.7,500
Urban Dine 605,MP Nagar,Dining,No,201,4.1,600
Green Cafe 606,Bairagarh,Cafe,Yes,199,4.4,450
Fusion Corner 607,MP Nagar,Cafe,Yes,108,3.9,400
Tandoor Bistro 608,TT Nagar,Desserts,Yes,49,3.8,400
Saffron Corner 609,TT Nagar,Casual Dining,Yes,237,3.8,750
Urban Cafe 610,Kolar Road,Cafe,Yes,110,3.6,550
Royal Corner 611,Indrapuri,Desserts,Yes,99,3.5,500
Tandoor Bistro 612,MP Nagar,Desserts,Yes,43,4.3,400
Fusion Treats 613,MP Nagar,Desserts,Yes,105,3.5,350
Spice Dine 614,MP Nagar,Cafe,Yes,196,3.9,550
Urban Cafe 615,MP Nagar,Dining,No,307,3.5,700
Fusion House 616,Kolar Road,Dining,No,175,3.3,300
Spice House 617,MP Nagar,Quick Bites,No,112,3.4,450
Fusion Kitchen 618,Indrapuri,Desserts,Yes,107,4.2,200
Fusion Dine 619,Bairagarh,Quick Bites,Yes,129,4.0,450
Blue Kitchen 620,Arera Colony,Casual Dining,No,216,4.3,950
Green Treats 621,Indrapuri,Cafe,Yes,177,3.7,400
Urban Hub 622,Kolar Road,Dining,No,317,3.9,450
Fusion Kitchen 623,Arera Colony,Quick Bites,Yes,118,4.2,350
Fusion Kitchen 624,Bairagarh,Buffet,No,200,3.7,1350
Urban Dine 625,MP Nagar,Buffet,No,166,3.6,1150
Green Treats 626,Arera Colony,Casual Dining,No,87,3.5,950
Royal Kitchen 627,Indrapuri,Cafe,Yes,112,4.5,400
Blue Corner 628,Indrapuri,Desserts,Yes,150,3.3,250
Blue Kitchen 629,Indrapuri,Quick Bites,Yes,51,3.4,450
Green Bistro 630,Kolar Road,Dining,No,347,3.4,650
Urban Corner 631,Indrapuri,Quick Bites,No,164,4.2,450
Royal Dine 632,TT Nagar,Buffet,No,270,3.8,1200
Green Dine 633,Arera Colony,Buffet,No,103,3.7,650
Urban Kitchen 634,TT Nagar,Desserts,No,249,3.9,450
Fusion Cafe 635,Arera Colony,Buffet,No,143,4.1,650
Royal Bistro 636,Kolar Road,Buffet,Yes,212,3.3,1350
Royal Hub 637,TT Nagar,Dining,No,418,4.0,550
Tandoor Corner 638,Arera Colony,Buffet,No,198,3.7,950
Green Kitchen 639,MP Nagar,Buffet,Yes,235,4.2,800
Royal House 640,MP Nagar,Casual Dining,Yes,273,4.1,800
Fusion Treats 641,TT Nagar,Buffet,No,203,4.1,700
Green Dine 642,MP Nagar,Cafe,Yes,79,4.3,400
Saffron Corner 643,Kolar Road,Buffet,No,114,3.9,950
Saffron Cafe 644,Kolar Road,Casual Dining,No,180,3.8,700
Fusion Bistro 645,TT Nagar,Desserts,No,108,4.1,300
Fusion Cafe 646,Bairagarh,Dining,Yes,125,3.3,350
Green Cafe 647,Arera Colony,Quick Bites,Yes,63,3.4,200
Saffron Cafe 648,TT Nagar,Cafe,No,260,4.2,350
Urban Dine 649,MP Nagar,Desserts,Yes,205,3.5,450
Fusion Corner 650,Kolar Road,Buffet,No,178,4.3,1300
Blue Hub 651,MP Nagar,Dining,No,318,3.4,850
Blue House 652,TT Nagar,Casual Dining,No,278,3.4,400
Saffron Cafe 653,Indrapuri,Quick Bites,Yes,190,3.8,350
Tandoor Corner 654,Arera Colony,Casual Dining,No,306,4.0,950
Urban Cafe 655,MP Nagar,Cafe,Yes,95,4.1,500
Spice Kitchen 656,Arera Colony,Quick Bites,No,218,3.7,250
Tandoor Cafe 657,TT Nagar,Buffet,No,180,4.2,1000
Tandoor Treats 658,TT Nagar,Cafe,No,75,4.4,300
Urban Treats 659,TT Nagar,Dining,No,219,3.9,750
Green Dine 660,Kolar Road,Casual Dining,Yes,243,3.9,750
Spice Bistro 661,Kolar Road,Buffet,No,254,4.2,1000
Royal Dine 662,MP Nagar,Quick Bites,Yes,297,3.4,200
Fusion Dine 663,TT Nagar,Buffet,No,110,3.4,650
Saffron Cafe 664,MP Nagar,Quick Bites,Yes,150,3.8,200
Urban Dine 665,Bairagarh,Desserts,Yes,184,3.9,200
Saffron Corner 666,Arera Colony,Cafe,Yes,207,3.4,250
Blue Kitchen 667,Kolar Road,Desserts,Yes,56,3.8,350
Green Dine 668,Kolar Road,Quick Bites,Yes,235,3.1,300
Royal Dine 669,Indrapuri,Quick Bites,No,207,3.4,150
Tandoor Dine 670,Kolar Road,Casual Dining,No,285,4.1,550
Tandoor Dine 671,Bairagarh,Cafe,Yes,170,3.8,250
Spice Dine 672,Kolar Road,Casual Dining,Yes,201,3.5,600
Green Bistro 673,Kolar Road,Casual Dining,Yes,118,4.2,600
Royal Cafe 674,Bairagarh,Casual Dining,Yes,162,3.8,800
Blue House 675,Bairagarh,Casual Dining,Yes,301,3.4,600
Fusion Treats 676,Indrapuri,Buffet,No,60,4.0,850
Spice Bistro 677,TT Nagar,Casual Dining,No,289,3.7,800
Saffron Kitchen 678,Kolar Road,Quick Bites,Yes,72,3.2,250
Green Treats 679,Arera Colony,Casual Dining,No,218,3.4,550
Tandoor Corner 680,Arera Colony,Buffet,No,249,3.6,750
Green Corner 681,Bairagarh,Quick Bites,Yes,117,3.6,400
Tandoor Cafe 682,MP Nagar,Quick Bites,No,125,3.8,150
Fusion Kitchen 683,Kolar Road,Buffet,No,148,4.3,950
Spice Kitchen 684,MP Nagar,Desserts,No,219,4.3,400
Urban Kitchen 685,Indrapuri,Casual Dining,Yes,75,3.4,450
Spice Hub 686,MP Nagar,Dining,Yes,305,3.5,400
Blue Corner 687,MP Nagar,Cafe,Yes,301,4.5,350
Saffron Cafe 688,Indrapuri,Dining,Yes,298,3.9,400
Fusion Kitchen 689,TT Nagar,Casual Dining,Yes,374,4.0,800
Tandoor Dine 690,Arera Colony,Buffet,No,66,3.3,700
Urban Treats 691,MP Nagar,Quick Bites,No,118,3.5,300
Blue Cafe 692,TT Nagar,Cafe,Yes,169,4.4,400
Saffron Corner 693,MP Nagar,Buffet,No,186,4.0,1350
Blue House 694,Kolar Road,Dining,No,134,3.9,300
Saffron House 695,Indrapuri,Quick Bites,Yes,291,3.1,400
Fusion Bistro 696,Bairagarh,Dining,No,334,4.3,850
Fusion Dine 697,Bairagarh,Dining,No,257,4.0,850
Spice Treats 698,Arera Colony,Desserts,Yes,177,3.4,300
Spice House 699,Kolar Road,Quick Bites,Yes,230,3.3,300
Green Hub 700,Bairagarh,Buffet,No,114,3.4,1400
Urban Kitchen 701,Bairagarh,Desserts,No,218,3.5,300
Urban Corner 702,TT Nagar,Quick Bites,Yes,214,4.0,150
Fusion Kitchen 703,TT Nagar,Buffet,No,104,4.0,1050
Green Bistro 704,Bairagarh,Buffet,No,245,3.9,900
Royal Bistro 705,Arera Colony,Desserts,Yes,142,3.5,400
Spice Treats 706,MP Nagar,Buffet,No,227,3.8,1300
Saffron House 707,Kolar Road,Casual Dining,No,157,3.6,450
Saffron Treats 708,Arera Colony,Quick Bites,Yes,53,4.0,350
Royal Cafe 709,Bairagarh,Desserts,No,233,3.5,200
Saffron Treats 710,TT Nagar,Cafe,No,245,3.5,450
Spice Dine 711,Kolar Road,Buffet,No,115,3.9,950
Urban Corner 712,Kolar Road,Dining,Yes,421,3.5,300
Spice Kitchen 713,Bairagarh,Cafe,Yes,84,3.6,300
Royal Corner 714,MP Nagar,Buffet,No,195,4.2,650
Urban Kitchen 715,MP Nagar,Casual Dining,No,299,3.7,900
Tandoor Bistro 716,Bairagarh,Casual Dining,No,316,3.4,800
Urban Cafe 717,Arera Colony,Cafe,No,167,4.4,200
Green Kitchen 718,Arera Colony,Quick Bites,Yes,159,4.0,150
Spice Treats 719,TT Nagar,Buffet,No,160,4.2,650
Green Bistro 720,Kolar Road,Dining,No,193,4.0,700
Fusion Treats 721,MP Nagar,Quick Bites,Yes,242,3.5,350
Fusion Hub 722,Indrapuri,Quick Bites,No,56,3.4,300
Royal Cafe 723,MP Nagar,Buffet,No,131,3.3,1300
Saffron Bistro 724,Bairagarh,Dining,No,242,3.5,500
Tandoor Cafe 725,Kolar Road,Desserts,Yes,130,4.1,200
Royal Hub 726,Bairagarh,Dining,Yes,278,4.3,500
Urban Hub 727,Arera Colony,Buffet,Yes,240,4.0,800
Royal Bistro 728,Kolar Road,Cafe,Yes,129,3.9,500
Green Hub 729,Arera Colony,Desserts,No,125,3.9,250
Urban Treats 730,MP Nagar,Casual Dining,Yes,288,3.5,550
Spice House 731,Indrapuri,Dining,Yes,221,4.1,350
Urban Kitchen 732,Bairagarh,Cafe,Yes,206,4.1,450
Tandoor Hub 733,Indrapuri,Buffet,No,264,3.9,900
Fusion Hub 734,Arera Colony,Dining,No,108,4.1,850
Green House 735,Indrapuri,Desserts,No,97,3.4,350
Fusion Corner 736,TT Nagar,Buffet,Yes,249,3.3,900
Tandoor Bistro 737,MP Nagar,Cafe,No,226,4.3,500
Royal Hub 738,Arera Colony,Cafe,Yes,211,3.9,300
Spice Treats 739,TT Nagar,Cafe,Yes,197,3.8,250
Saffron House 740,Bairagarh,Dining,No,221,4.2,550
Green Dine 741,TT Nagar,Desserts,No,145,4.3,500
Spice Bistro 742,Arera Colony,Casual Dining,No,309,3.6,950
Tandoor Treats 743,Kolar Road,Buffet,No,208,4.4,1050
Urban Treats 744,Bairagarh,Quick Bites,No,211,3.5,200
Tandoor House 745,Bairagarh,Dining,Yes,124,3.3,600
Tandoor Dine 746,Indrapuri,Desserts,Yes,195,4.1,300
Royal Kitchen 747,Arera Colony,Dining,Yes,230,3.5,600
Urban Hub 748,Indrapuri,Buffet,No,178,4.0,1350
Urban Bistro 749,Kolar Road,Casual Dining,Yes,316,4.4,500
Green Dine 750,Arera Colony,Casual Dining,Yes,314,4.2,950
Green House 751,Indrapuri,Desserts,Yes,48,4.3,350
Green Bistro 752,Arera Colony,Dining,No,227,3.3,500
Green Cafe 753,Kolar Road,Casual Dining,Yes,280,4.4,550
Blue Hub 754,Indrapuri,Desserts,Yes,134,3.4,450
Royal House 755,Indrapuri,Buffet,Yes,229,4.2,650
Royal Hub 756,Bairagarh,Buffet,No,153,3.5,1050
